,닉네임,태그,별점,작성일,발색력,지속력,수분감,피부타입,리뷰
10,gmld****,"복합성
쿨톤
모공
민감성",5,2021.11.04,보통이에요,보통이에요,보통이에요,복합성에 좋아요,"가격이 사악해서 고민하다가 산건데 사길잘했어요 
에이지투웨니스꺼 본품에 리필2개까지 살 가격을 얘는 20프로라도 해야 비슷하네요..? ㅋㅋㅋㅋㅋ
사용감도 맘에들고 피부가 편해서 또 사서 쓰고싶은데 재구매할즘엔 많이 풀려서 싸졌으면 좋겧어요 
컬러는 쿨톤이고 조금 밝은편이라 1호썻구요 
마스크에 바로 찍어봤는데 진짜 아예 안묻어난거같은데요..?
이때까 다 안묻는다해도 결국 다 바르고 찍어보면 찔끔이라도 베어나오는데 이건 꽤 피부에 찰떡처럼 뭍어있어요 
근ㄷㅔ 악건성까지는 쓰려면 탄탄하게 해야할것같고 겨울까지는 쓸만하려나 모르겠어요 
근래들어서 쓴거중에 맘에 쏙드네요"
11,배고픈강아지,,4,2021.12.04,보통이에요,보통이에요,보통이에요,건성에 좋아요,"저는 13-17호 정도의 밝은 피부를 가진 여름쿨라이트 입니다 01 순수 색상 구입해봤어요 건조한 피부인데 요새 유튜브에서 피부표현이 예쁘게 되는 촉촉한 쿠션으로 인기가 많더라구요 쿠션은 새로운거 시도 잘 안하는 편인데 좋은 톤업쿠션 느낌이라길래 혹해서 샀어요 저같이 고민하고 계신 많은 분들을 위해 상세하게 올려요!
결론부터 말하자면 커버력이 거의 없어서 피부 상태에 따라 다르게 잘리는 쿠션이에요 피부결 좋고 잡티 없는 분들에게 데일리로 추천드려요 피부 상태별로 후기 알려드릴게요
제가 요새 피부관리를 소홀히 했더니 피부상태가 안좋았어요 건조하고 각질이 있었습니다 먼저 피부가 이런 상태일때 아침에 스킨케어만 꼼꼼히 해주고 발랐었어요 1,2,3번 사진 참고해주세요 솜털과 각질 때문인지 피부가 더러워보이고 무엇보다 엄청 더럽구무너지더라구요 제가 얼굴에 큰 잡티나 트러블도 없고  평소 커버력에 크게 신경안써서 이 쿠션이랑 잘맞을거라고 기대했는데 실망이 컸어요 이런 피부 상태일때도 기초 잘하고 다른 쿠션 바르면 괜찮았거든요
그런데 며칠 후 각질관리 잘해주고 전날 팩도하고 피부관리 잘 해준 상태에서 발랐더니 저번보다 훨씬 좋아서 놀랐습니다 4,5,6번 사진 참고해주세요 특이하게 텐션망으로 되어있는 쿠션인데 많이 묻어나오지 않고 양조절 하기 좋아요 바를 때는 발리고 있는건가? 싶게 발리는데 쫀쫀하고 쿨링감있게 촥 붙는 느낌이 들고 톤업과 가벼운 피부보정 정도의 역할을 해주더라구요 시간이 지나서도 확실히 뭉침이 덜하고 더 예쁘게 무너졌어요 사진으로 보는 것보다 실물로 봤을때 그 차이가 더 크고 피부상태가 괜찮은 날은 광과 유분기가 올라오면서 시간이 지나도 피부표현이 예쁘고 더럽지 않았습니다 중요한 날은 다른 파운데이션이나 쿠션을 바를 것 같지만 겨울철 답답하지 않게 데일리로 자연스러운 내치부 느낌을 줄 수 있을 것 같아요
가려움이나 트러블이 올라오지도 않았습니다
마스크 6시간 정도 착용 후 묻어남 사진도 같이 첨부할게요 밀착이 잘되어서 그런지 묻어남 별로 없어요
쿠션이 기대한 것보다 촉촉한 느낌은 아니었습니다 바를 땐 촉촉한데 마무리감은 생각보다 보송해요 악건성이신 분들에게는 건조하게 느껴질 것 같고 지성이신 분들에게는 유분기가 많이 올라오기 때문에 추천하지 않습니다
잡티나 붉은기가 있으신 분들에게도 비추랍니다 저는 이 쿠션의 장점은 간편함, 편안함, 내 피부같은 느낌이라고 생각하는데 컨실러는 굳이 라는 생각이 들어거 커버를 원하신다면 다른 쿠션 사용하시는게 나을 것 같아요
가격이 쿠션이 비해 좀 높은 것 같아서 아쉬워요 그리고 패키지가 예쁘긴 한데 무겁고 두껍고 커서 휴대하기 좋진 않네요"
12,유징가,"지성
쿨톤
모공
블랙헤드",5,2022.01.05,아주 만족해요,보통이에요,보통이에요,복합성에 좋아요,"쿠션 사고 싶었는데, 비건 쿠션이라고 해서 
상세설명란 읽어보니까 성분도 좋고 순할거 같아서
구매해봤습니다!! 일단 커버력이나 무너짐같은 거는 
여타 쿠션이랑 비교해도 비슷한데, 제가 색상을 너무 밝은 걸
사서 다음에는 조금 어두운 걸로 사야할 것 같아요 ㅠㅠ 
그리고 쿠션이 다른 쿠션보다는 포장이? 크기가 커가지고
깜짝 놀랐어요!! ㅋㅋㅋㅋ그래도 튼튼해서 잘 사용하고 있습니다!
가격은 다른 제품들 보다는 조금 있는 편이지만
요즘같이 비건이 트렌드인 세상에서 화장품에도 관심을 가지면
참 좋은 것 같아요!! 커버력은 저는 컨실러랑 같이 사용하고
있어서 딱 만족하고, 무너짐은 크지 않고 얇게 발려서
지속력도 딱 좋은 것 같아요! 겨울철이라 매트할까봐 걱정했는데 촉촉해서 사무실에서도 잘 사용하고 있습니당! 이런 제품 많이 나와서 관심 받았으면 좋겠네요!"
13,요거트다내꺼,메이크업 분야 탑리뷰어,5,2021.11.08,아주 만족해요,지속이 오래돼요,보통이에요,복합성에 좋아요,"저는 01 순수를 구매했었는데 화사하고 마음에 들지만 제 피부톤에 딱 맞을 것 같은 1.5 맑음도 구매하고 싶었어요!

1.5 맑음도 제 피부톤이기는 하나, 
비건 젤리쿠션 자체가 투명하게 발리기 때문에 제 피부보다 밝고 좋아보여요

호수가 고민이 된다면 21호는 1.5를 구매하는게 맞는 것 같아요
20호 정도의 피부라면
화사하게 하고 싶다 -> 01 순수
자연스럽게 하고 싶다 -> 1.5 맑음 (이걸 선택해도 어둡진 않아요)
이렇게 가면 될 것 같아요
13호~19호는 01 순수로 선택하는 게 맞는 것 같아요

제형이 망 안에 리퀴드파운데이션이 들어있다기 보다 크림파운데이션이 있는 느낌이에요
그래서 젤리 쿠션이라는 이름이 참 잘어울린다고 생각했어요!

큰 장점은 너무 예쁜 디자인과, 피부가 좋아보이는 색상들, 꽤나 오래가는 지속력이라고 생각해요
어뮤즈 쿠션 추천합니다"
14,A21,메이크업 분야 탑리뷰어,5,2021.10.30,아주 만족해요,지속이 오래돼요,아주 촉촉해요,건성에 좋아요,"솔직히 라방 보다가 미니 복숭아🍑사은품에 넘어간 어뮤즈 쿠션
요즘 투명한 쿠션 케이스 디자인이 브랜드마다 다르면서도 유사하게 출시되서 예뻐보이더라고요 
투명한 케이스가 쿠션을 더 빛나보이게 해요✨ 
제형 자체는 크림 파운데이션을 바르는 것 같은 메쉬망이 있는 제품이라 일반 쿠션과 다른 얇은 느낌을 받았고, 깨끗해보이는 물광표현에 피부가 촉촉해보여요
다만 넘 얇게 발리는 제형이라 커버력이 없다는 점은 감안해야하고, 결점커버는 컨실러가 필수라는 점을 잊지 말아야해요 

어뮤즈 쿠션의 장점이면서도 단점은 디자인같아요 
이런 투명한 소재 유사한 느낌의 쿠션들이나 다른 쿠션들보다 사이즈가 커서 자리 차지하는 것이 살짝 아쉬워요 
 
건조한 날씨가 계속 될텐데 촉촉하면서도 쿨링감있는 제형의  밀착쿠션을 찾으시는 분들에게 추천해요"
15,쓰니마니,"건성
웜톤
모공
주름",4,2021.11.28,보통이에요,보통이에요,아주 촉촉해요,건성에 좋아요,"일단 케이스가 크고 무거워요
처음에 제품 씰을 뜯었을때 아주 꽉차있는 느낌이에요! 
쿠션에 물탔나 싶을 정도로 흐르기도 하고 굉장히 수분이 넘치는 느낌 받았어요 !! 
어뮤즈 젤리 쿠션은 촉촉함은 좋은데 커버력은 굉장히 아쉬운 제품같아요
쿠션팩트가 촉촉한 톤업크림 느낌이에요!
이런 쿠션은 저는 한톤 밝게 써요 그렇게 해도 뜨는 느낌을 안받아요 ! 한톤 정도 밝게 사셔도 될거 같아서 추천 드려요 
평소 저는 21-22호 쿠션 파데를 써요 ! 
사진에서 손등 바른쪽과 안바른쪽 거의 차이 없어요!"
16,쿠키도사,"지성
겨울쿨톤
각질
모공",4,2021.11.08,보통이에요,보통이에요,아주 촉촉해요,복합성에 좋아요,처음에 쿠션을 받자마자 생각보다 뚱뚱해서 당황했지만 케이스 자체는 넘 예뻐요~ 그리고 퍼프가 말랑한게 넘 취저입니다! 근데 색상이 별로 밝진 않아요.. 그냥 딱 21호? 저한텐 진짜 그냥 제 피부색이네요 더 화사한게 있으면 좋을것같아요! 출시해주세용ㅋㅋ 그리고 커버력은 0입니다 ㅎㅎ 정말 얇고 투명하게 발려요 꾸안꾸 스타일로 쓰고 그냥 강아지 산책 나갈때 씁니다 발릴때만 촉촉하구요~ 마무리가 그렇게 촉촉 광광 하진 않습니다 건성이신 분들은 그닥 촉촉하다고 못느끼실것같아요ㅠㅠ 바르기 쉽고 쌓이진 않고 막 바르기 좋네요 그래서 수정용으로 사용하기엔 매우 탁월한 쿠션입니다! 메쉬 젤리 쿠션이라 처음 보는 스타일이어서 구매해봤는데 미니틴트도 만족스럽고 잘 샀어요 다음엔 틴트도 구매해보려구요~!
17,프리세상,"중성
웜톤
각질
다크서클",5,2021.12.27,보통이에요,보통이에요,보통이에요,건성에 좋아요,얇게 발리고 약간 화사하게 하는 것을 좋아해서 한번 사본제품인데 발색이 맘에들고 간단한수정하기에좋은것같아요!! 단지가격에비해리필이없다는게조금은 부담이가네요!!
18,깡깡쩨,"건성
웜톤
아토피
잡티",5,2021.12.22,아주 만족해요,지속이 오래돼요,아주 촉촉해요,건성에 좋아요,이거 정말 요물입니다! 제가 건성에 민감성이라 유명한 쿠션을 다써봐도 만족된적이없었어요 사용하고나면 엄청 답답한느낌에 간질간질하고 들뜨는것도 엄청 심해서 항상 고민이얐는데 이것저것 찾아보다가 알게되서 구매했어요 당장 쿠션을 쓸일이있어서 판매되는 매장을 찾았는데 오프라인에서는 많이없더라구여ㅜ 그래서 남자친구 동네용인에서 판매하는곳을 발견해서 사서 써봤는데 정말 마스크에 묻어나는것도 덜하고 엄청 촉촉해서 진짜ㅠ제가 감격했어요ㅜㅜ 지금같이 바람불고 건조한날에 써도 촉촉하고 촉촉하면 커버력이 떨어지는데 커버력도 나쁘지않아오! 비건쿠션이라 취지도 좋고 리필도 나왔으면좋겠어요ㅜㅜ 왕창 쟁여놓고 사용하고싶을 만큼으로 너무너무 만족스러운 쿠션이에요 제가 피부톤이ㅠ밝은편인데 1호 순수가 딱 맞아욤
19,민트양,"건성
쿨톤
각질
홍조",5,2021.12.16,보통이에요,보통이에요,보통이에요,복합성에 좋아요,"이건 제 인생팩트에요 요즘 하도건조하고 날도 많이추워져서 
스킨케어 관리에 애많이써주고있는데  물론 피부결효과는 메이크업 전에 스킨케어가 제일 중요하겠지만 팩트도 한몫했네요 적당히 윤광 물광느낌살면서 커버도 저는 막 두껍게하는 편 안좋아하는데 이게 딱이에요 바르면서 향도 기분좋은데 ㅡ 
예전에 제가쓰던 향수랑 비슷한 향이 나서 더좋았구 발림성도 밀림이없어서 좋아요 그리고 몰캉몰캉 젤리같은 쿠샨바닥이 넘기분좋아용 귀엽게막 몰랑물랑한게 찍어바르먄 피부에 딱 안착하는 느낌도 괜히 더 찰싹쿵 붙는느낌나서 기분좋고 ㅎ 아무튼 대박입니다 겨울철에만 어울릴 팩트같긴하지만 네추럴한데 깔끔하게 커버되고 촉촉하고 딱 적당하면서 ㅜㅜ제인생팩트가되어주네요 조금아쉬운건 쿠션하나만 더 얹어줬음하네여ㅜ가성비는 좀아쉬운듯"
